schema_version,batch_label,scenario,scenario_label,ungoverned_avg_tokens_per_task,governed_avg_tokens_per_task,absolute_reduction_tokens,reduction_pct,ungoverned_avg_turns,governed_avg_turns,ungoverned_avg_repair_loops,governed_avg_repair_loops,ungoverned_avg_rebrief_rate,governed_avg_rebrief_rate,context_share_of_savings_pct,output_share_of_savings_pct,tool_share_of_savings_pct,turn_share_of_savings_pct
v1,calibration_batch_03_seed42,short_horizon_determinate,short_horizon_determinate,6058.101481471041,3692.228233872216,2365.8732475988245,39.053047474278,6.01225,5.0775,0.909,0.3705,0.05725,0.0255,66.17909499342048,16.386431511555866,6.022754658585523,11.41171883643812
v1,calibration_batch_03_seed42,long_horizon_workflow,long_horizon_workflow,28660.47251076917,15175.789886885632,13484.682623883538,47.049756834318316,13.0145,10.95025,3.3955,1.39325,0.2405,0.10925,69.95695617202468,13.289573832168225,6.483208125786298,10.270261870020805
v1,calibration_batch_03_seed42,nonlinear_human_centered,nonlinear_human_centered,40061.14058063185,20770.852220230034,19290.288360401817,48.15211968709646,14.9995,12.59925,4.64075,1.8895,0.29825,0.143,70.26638506864052,14.009025606390097,5.531944343284593,10.192644981684778
