scenario,context_share_pct,output_share_pct,tool_share_pct,turn_share_pct
Short-horizon determinate,65.54181809517934,16.665204064660713,6.0740776196992385,11.718900220460734
Long-horizon workflow,69.6299854306544,13.445504954883715,6.546008454166914,10.378501160294974
Nonlinear human-centered,69.94121148955786,14.083168800304117,5.596065063060836,10.379554647077175
