schema_version,batch_label,scenario,scenario_label,condition,condition_label,trials,avg_tokens_per_task,median_tokens_per_task,p95_tokens_per_task,avg_turns_per_task,avg_repair_loops_per_task,avg_rebrief_rate,avg_context_tokens,avg_output_tokens,avg_tool_tokens,avg_governance_tokens,avg_context_relevant,avg_context_redundant,avg_context_stale,avg_context_oversized,avg_output_excess,avg_unnecessary_tool_tokens
v1,calibration_batch_04_seed42,long_horizon_workflow,long_horizon_workflow,governed,governed,4000.0,14905.89205058285,14920.425597018668,17966.945037091613,10.957,1.2895,0.108,8547.286178487086,5006.554313412735,935.4608260761281,416.5907326069031,8814.785597865204,424.6002802544554,199.76531045485333,597.4948255708504,520.7991444561185,145.4973244112412
v1,calibration_batch_04_seed42,long_horizon_workflow,long_horizon_workflow,ungoverned,ungoverned,4000.0,28495.044291933045,28415.536643225216,34088.63565163799,13.018,3.30025,0.24375,19479.273317549356,7071.881456507559,1943.8895178761293,0.0,13115.136239285828,1835.344320698378,1366.2760296944957,1997.4518416298195,1054.839826042925,409.8618063383626
v1,calibration_batch_04_seed42,nonlinear_human_centered,nonlinear_human_centered,governed,governed,4000.0,20346.269099652167,20323.093313536414,24123.063774362843,12.57875,1.74175,0.13825,11624.089609414976,7118.548766362679,1126.0267914416631,477.6039324328469,11756.50842660295,623.9501775089366,272.7129715628035,946.1053052693508,873.0353769596854,222.71513979624655
v1,calibration_batch_04_seed42,nonlinear_human_centered,nonlinear_human_centered,ungoverned,ungoverned,4000.0,39779.50731388494,39730.34307626035,46555.85678865079,14.9905,4.45425,0.30475,27226.78399393805,10204.90071053279,2347.8226094141046,0.0,17676.168841357623,2746.094411212389,2066.8071021767314,3103.549620004232,1761.487946734734,623.5914665807179
v1,calibration_batch_04_seed42,short_horizon_determinate,short_horizon_determinate,governed,governed,4000.0,3647.2733110731833,3609.9428074958787,5197.956366206489,5.0815,0.33825,0.0265,2000.0752900250413,1319.581401819327,134.67318248456232,192.9434367442527,2293.0272825884513,20.140043168998453,43.17545052486016,52.44317120122928,76.92115895375466,52.44687504988868
v1,calibration_batch_04_seed42,short_horizon_determinate,short_horizon_determinate,ungoverned,ungoverned,4000.0,6037.639064904081,6016.843669942131,8270.285164293673,6.00725,0.87625,0.05825,3943.6990359441534,1784.5912723164479,309.3487566434799,0.0,3326.981031345031,83.73325497234578,169.05397339484813,189.35401898611516,154.9488976561045,150.80915082326158
